(1, 0, 1, 0.5, [48, 60, 64, 67])
(1, 0.5, 1.5, 0.5, [50, -60, -64, -67])
(1, 1, 2, 0.5, [52, 60, 64, 67])
(1, 1.5, 2.5, 0.5, [48, -60, -64, -67])
(1, 2, 3, 0.5, [53, 57, 60, 69])
(1, 2.5, 3.5, 0.5, [52, -57, -60, -69])
(1, 3, 4, 0.5, [53, 62, 65, 69])
(1, 3.5, 4.5, 0.5, [50, -62, -65, -69])
(2, 4, 1, 0.5, [55, 62, 65, 71])
(2, 4.5, 1.5, 0.5, [-55, 60, 64, -71])
(2, 5, 2, 0.5, [43, 62, 65, 71])
(2, 5.5, 2.5, 0.25, [-43, 59, -65, 72])
(2, 5.75, 2.75, 0.25, [-43, -59, -65, 74])
(2, 6, 3, 2, [48, 55, 64, 72])
(3, 8, 1, 0.5, [43, 59, 67, 74])
(3, 8.5, 1.5, 0.5, [45, 60, -67, -74])
(3, 9, 2, 0.5, [47, 62, 67, 74])
(3, 9.5, 2.5, 0.5, [43, 59, 65, -74])
(3, 10, 3, 0.5, [45, 59, 64, 72])
(3, 10.5, 3.5, 0.25, [47, 57, -64, -72])
(3, 10.75, 3.75, 0.25, [-47, 56, -64, -72])
(3, 11, 4, 0.5, [48, 57, -64, 72])
(3, 11.5, 4.5, 0.5, [50, -57, 66, -72])
(4, 12, 1, 0.5, [52, 55, 67, 71])
(4, 12.5, 1.5, 0.5, [50, -55, 66, -71])
(4, 13, 2, 0.5, [48, 55, 64, 69])
(4, 13.5, 2.5, 0.25, [45, -55, 60, 71])
(4, 13.75, 2.75, 0.25, [-45, -55, -60, 72])
(4, 14, 3, 0.5, [50, 55, 62, 69])
(4, 14.5, 3.5, 0.5, [-50, 52, -62, -69])
(4, 15, 4, 0.5, [38, 54, -62, -69])
(4, 15.5, 4.5, 0.5, [-38, -54, 60, -69])
(5, 16, 1, 2, [43, 50, 59, 67])
(5, 18, 3, 0.5, [48, 52, 60, 67])
(5, 18.5, 3.5, 0.5, [50, 53, -60, -67])
(5, 19, 4, 0.5, [52, 55, 60, 67])
(5, 19.5, 4.5, 0.5, [48, 52, -60, -67])
(6, 20, 1, 0.5, [53, 53, 60, 69])
(6, 20.5, 1.5, 0.5, [52, 55, -60, -69])
(6, 21, 2, 0.5, [50, 57, 65, 69])
(6, 21.5, 2.5, 0.5, [48, -57, -65, -69])
(6, 22, 3, 0.5, [47, 50, 65, 67])
(6, 22.5, 3.5, 0.5, [49, 52, 64, -67])
(6, 23, 4, 0.5, [50, 53, 62, 65])
(6, 23.5, 4.5, 0.5, [-50, 55, -62, 64])
(7, 24, 1, 2, [45, 57, 61, 64])
(7, 26, 3, 0.5, [52, 55, 61, 67])
(7, 26.5, 3.5, 0.5, [50, 53, 62, -67])
(7, 27, 4, 0.5, [49, 52, 64, 67])
(7, 27.5, 4.5, 0.5, [45, -52, 61, -67])
(8, 28, 1, 0.5, [50, 53, 57, 65])
(8, 28.5, 1.5, 0.5, [48, -53, -57, -65])
(8, 29, 2, 0.5, [47, 55, 62, 65])
(8, 29.5, 2.5, 0.5, [43, -55, 59, -65])
(8, 30, 3, 0.5, [48, 55, 60, 64])
(8, 30.5, 3.5, 0.5, [52, -55, -60, -64])
(8, 31, 4, 0.5, [53, 57, 60, 62])
(8, 31.5, 4.5, 0.25, [50, 53, -60, 64])
(8, 31.75, 4.75, 0.25, [-50, -53, -60, 65])
(9, 32, 1, 0.5, [55, 55, 60, 62])
(9, 32.5, 1.5, 0.5, [-55, 52, -60, -62])
(9, 33, 2, 1, [43, 53, 59, -62])
(9, 34, 3, 2, [48, 52, 55, 60])
(10, 36, 1, 0.5, [60, 60, 64, 67])
(10, 36.5, 1.5, 0.5, [58, -60, -64, -67])
(10, 37, 2, 0.5, [57, 60, 64, 67])
(10, 37.5, 2.5, 0.5, [55, -60, -64, -67])
(10, 38, 3, 0.5, [53, 60, 65, 69])
(10, 38.5, 3.5, 0.5, [52, -60, -65, -69])
(10, 39, 4, 0.5, [50, 62, 65, 69])
(10, 39.5, 4.5, 0.5, [48, -62, 64, -69])
(11, 40, 1, 0.5, [47, 56, 62, 71])
(11, 40.5, 1.5, 0.5, [45, 57, -62, -71])
(11, 41, 2, 0.5, [44, 59, 64, 71])
(11, 41.5, 2.5, 0.25, [40, 56, -64, 72])
(11, 41.75, 2.75, 0.25, [-40, -56, -64, 74])
(11, 42, 3, 2, [45, 57, 64, 72])
(12, 44, 1, 0.5, [48, 52, 60, 67])
(12, 44.5, 1.5, 0.5, [46, -52, -60, -67])
(12, 45, 2, 0.5, [45, 52, 60, 67])
(12, 45.5, 2.5, 0.25, [43, -52, -60, 69])
(12, 45.75, 2.75, 0.25, [-43, -52, -60, 70])
(12, 46, 3, 0.5, [41, 53, 60, 69])
(12, 46.5, 3.5, 0.5, [40, 48, 57, 67])
(12, 47, 4, 0.5, [38, 50, 59, 65])
(12, 47.5, 4.5, 0.5, [36, 55, 60, 64])
(13, 48, 1, 0.5, [41, 57, 60, 62])
(13, 48.5, 1.5, 0.25, [-41, -57, -60, 64])
(13, 48.75, 1.75, 0.25, [-41, -57, -60, 65])
(13, 49, 2, 0.5, [43, 55, 59, 62])
(13, 49.5, 2.5, 0.5, [-43, 53, -59, -62])
(13, 50, 3, 2, [48, 52, 55, 60])
