(1, 0, 1, 0.5, [60, 63, 67, 72])
(1, 0.5, 1.5, 0.5, [62, -63, -67, -72])
(1, 1, 2, 1, [63, -63, -67, -72])
(1, 2, 3, 1, [60, 63, 67, 72])
(2, 3, 1, 0.5, [59, 62, 67, 79])
(2, 3.5, 1.5, 0.5, [57, -62, 69, -79])
(2, 4, 2, 0.5, [55, 67, 71, -79])
(2, 4.5, 2.5, 0.5, [-55, 65, -71, -79])
(2, 5, 3, 1, [60, 63, 72, 79])
(3, 6, 1, 1, [-60, 68, 74, 77])
(3, 7, 2, 1, [59, 67, -74, -77])
(3, 8, 3, 0.5, [60, 67, 74, 75])
(3, 8.5, 3.5, 0.5, [-60, -67, 72, -75])
(4, 9, 1, 1, [55, 67, 72, 74])
(4, 10, 2, 0.5, [-55, -67, 71, -74])
(4, 10.5, 2.5, 0.5, [-55, -67, 69, -74])
(4, 11, 3, 1, [55, 67, 71, 74])
(5, 12, 1, 1, [51, 70, 70, 79])
(5, 13, 2, 1, [63, -70, -70, -79])
(5, 14, 3, 1, [62, 70, 77, 82])
(6, 15, 1, 1, [60, 72, 75, 80])
(6, 16, 2, 1, [62, 70, 77, -80])
(6, 17, 3, 0.5, [63, 70, -77, 79])
(6, 17.5, 3.5, 0.5, [-63, -70, 75, -79])
(7, 18, 1, 1, [56, 72, 75, 77])
(7, 19, 2, 1, [58, 70, -75, -77])
(7, 20, 3, 0.5, [46, -70, 74, 77])
(7, 20.5, 3.5, 0.5, [-46, 68, -74, -77])
(8, 21, 1, 3, [51, 67, 70, 75])
(9, 24, 1, 1, [55, 67, 71, 74])
(9, 25, 2, 1, [53, -67, -71, -74])
(9, 26, 3, 1, [51, 67, 72, 75])
(10, 27, 1, 1, [50, 68, -72, 77])
(10, 28, 2, 0.5, [48, -68, 71, -77])
(10, 28.5, 2.5, 0.5, [-48, -68, 72, -77])
(10, 29, 3, 0.5, [47, -68, 74, 77])
(10, 29.5, 3.5, 0.5, [-47, 67, -74, -77])
(11, 30, 1, 1, [48, 67, -74, 75])
(11, 31, 2, 0.5, [60, -67, 72, -75])
(11, 31.5, 2.5, 0.5, [-60, -67, 71, -75])
(11, 32, 3, 1, [53, 68, 72, 77])
(12, 33, 1, 1, [55, 67, -72, 74])
(12, 34, 2, 0.5, [-55, -67, 71, -74])
(12, 34.5, 2.5, 0.5, [-55, -67, 69, -74])
(12, 35, 3, 1, [55, 67, 71, 74])
(13, 36, 1, 0.5, [55, 62, 71, 79])
(13, 36.5, 1.5, 0.5, [57, -62, 72, -79])
(13, 37, 2, 0.5, [59, 67, 74, -79])
(13, 37.5, 2.5, 0.5, [-59, 65, -74, -79])
(13, 38, 3, 1, [60, 63, 72, 79])
(14, 39, 1, 1, [62, 65, -72, 77])
(14, 40, 2, 1, [55, 67, 71, -77])
(14, 41, 3, 1, [60, 67, 72, 75])
(15, 42, 1, 0.5, [53, 68, 72, 74])
(15, 42.5, 1.5, 0.5, [-53, 67, -72, -74])
(15, 43, 2, 0.5, [50, 65, -72, -74])
(15, 43.5, 2.5, 0.5, [-50, 68, -72, -74])
(15, 44, 3, 0.5, [55, 67, 71, 74])
(15, 44.5, 3.5, 0.5, [-55, 65, -71, -74])
(16, 45, 1, 3, [48, 63, 67, 72])
(17, 48, 1, 1, [48, 67, 72, 75])
(17, 49, 2, 1, [60, -67, -72, -75])
(17, 50, 3, 1, [58, 67, 72, 75])
(18, 51, 1, 1, [44, 68, 72, 75])
(18, 52, 2, 1, [56, -68, -72, -75])
(18, 53, 3, 1, [55, 70, 75, 75])
(19, 54, 1, 1, [41, 68, 75, 80])
(19, 55, 2, 1, [53, 65, 74, -80])
(19, 56, 3, 1, [51, 70, 75, 79])
(20, 57, 1, 1, [46, 70, -75, 77])
(20, 58, 2, 0.5, [-46, -70, 74, -77])
(20, 58.5, 2.5, 0.5, [-46, -70, 72, -77])
(20, 59, 3, 1, [58, 70, 74, 77])
(21, 60, 1, 1, [58, 70, 74, 77])
(21, 61, 2, 1, [56, -70, -74, -77])
(21, 62, 3, 1, [55, 71, 74, 79])
(22, 63, 1, 1, [60, 67, 72, 75])
(22, 64, 2, 1, [58, -67, -72, -75])
(22, 65, 3, 0.5, [56, 65, 72, 77])
(22, 65.5, 3.5, 0.5, [55, 67, -72, -77])
(23, 66, 1, 0.5, [53, 68, 72, 74])
(23, 66.5, 1.5, 0.5, [-53, 67, -72, -74])
(23, 67, 2, 0.5, [50, 65, -72, -74])
(23, 67.5, 2.5, 0.5, [-50, 68, -72, -74])
(23, 68, 3, 0.5, [55, 67, 71, 74])
(23, 68.5, 3.5, 0.5, [-55, 65, -71, -74])
(24, 69, 1, 2, [48, 64, 67, 72])
(24, 71, 3, 1, [48, 64, 67, 72])
