(0, 0, 1, 1, [48, 51, 60, 67])
(1, 1, 1, 0.5, [47, 50, 62, 67])
(1, 1.5, 1.5, 0.5, [-47, 51, -62, -67])
(1, 2, 2, 0.5, [43, 53, 60, 67])
(1, 2.5, 2.5, 0.5, [-43, -53, 59, -67])
(1, 3, 3, 0.5, [48, 51, 60, 67])
(1, 3.5, 3.5, 0.5, [46, -51, 62, -67])
(1, 4, 4, 0.5, [44, 56, 63, 72])
(1, 4.5, 4.5, 0.5, [-44, 55, -63, -72])
(2, 5, 1, 0.5, [46, 53, -63, 70])
(2, 5.5, 1.5, 0.5, [-46, 51, -63, -70])
(2, 6, 2, 0.5, [-46, 53, 62, -70])
(2, 6.5, 2.5, 0.5, [-46, -53, -62, 68])
(2, 7, 3, 1, [39, 51, 58, 67])
(2, 8, 4, 0.5, [51, 51, 58, 67])
(2, 8.5, 4.5, 0.5, [-51, -51, -58, 68])
(3, 9, 1, 0.5, [50, 53, 58, 70])
(3, 9.5, 1.5, 0.5, [48, -53, -58, -70])
(3, 10, 2, 0.5, [46, 53, 58, 62])
(3, 10.5, 2.5, 0.5, [-46, -53, 56, -62])
(3, 11, 3, 0.5, [48, 51, 55, 63])
(3, 11.5, 3.5, 0.5, [46, 50, -55, -63])
(3, 12, 4, 1, [44, 48, 60, 65])
(4, 13, 1, 3, [43, 50, 59, 67])
(4, 16, 1, 1, [45, 48, 60, 65])
(5, 17, 1, 0.5, [46, 50, 58, 65])
(5, 17.5, 1.5, 0.5, [-46, 48, -58, -65])
(5, 18, 2, 0.5, [46, 50, 58, 65])
(5, 18.5, 2.5, 0.5, [48, 51, 57, -65])
(5, 19, 3, 0.5, [50, 53, 58, 65])
(5, 19.5, 3.5, 0.5, [-50, -53, 60, -65])
(5, 20, 4, 1, [46, 58, 62, 65])
(6, 21, 1, 0.5, [39, 58, 63, 67])
(6, 21.5, 1.5, 0.5, [41, -58, -63, -67])
(6, 22, 2, 0.5, [43, -58, -63, -67])
(6, 22.5, 2.5, 0.5, [44, -58, -63, -67])
(6, 23, 3, 1, [46, 58, 62, 65])
(6, 24, 4, 1, [50, 58, 65, 65])
(7, 25, 1, 0.5, [51, 58, 63, 67])
(7, 25.5, 1.5, 0.5, [-51, -58, -63, 69])
(7, 26, 2, 0.5, [50, 58, 65, 70])
(7, 26.5, 2.5, 0.5, [51, 60, -65, -70])
(7, 27, 3, 1, [53, 62, 65, 70])
(7, 28, 4, 0.5, [41, 60, -65, 69])
(7, 28.5, 4.5, 0.5, [-41, -60, 63, -69])
(8, 29, 1, 3, [46, 58, 62, 70])
(8, 32, 4, 1, [46, 53, 62, 70])
(9, 33, 1, 0.5, [51, 51, 58, 67])
(9, 33.5, 1.5, 0.5, [53, -51, -58, -67])
(9, 34, 2, 0.5, [51, 58, 63, 67])
(9, 34.5, 2.5, 0.5, [49, -58, -63, -67])
(9, 35, 3, 0.5, [48, 60, 63, 68])
(9, 35.5, 3.5, 0.5, [49, -60, -63, -68])
(9, 36, 4, 0.5, [48, 55, 61, 70])
(9, 36.5, 4.5, 0.5, [46, -55, -61, -70])
(10, 37, 1, 0.5, [44, -55, 60, 72])
(10, 37.5, 1.5, 0.5, [43, -55, -60, -72])
(10, 38, 2, 0.5, [44, 53, -60, -72])
(10, 38.5, 2.5, 0.5, [46, -53, -60, -72])
(10, 39, 3, 1, [48, 51, 60, 67])
(10, 40, 4, 1, [39, 55, 60, 67])
(11, 41, 1, 1, [44, 48, 60, 65])
(11, 42, 2, 0.5, [43, 56, 60, 63])
(11, 42.5, 2.5, 0.5, [41, -56, -60, 62])
(11, 43, 3, 0.5, [43, 55, 60, 62])
(11, 43.5, 3.5, 0.5, [-43, 51, -60, -62])
(11, 44, 4, 0.5, [43, 53, 59, -62])
(11, 44.5, 4.5, 0.5, [-43, -53, -59, 60])
(12, 45, 1, 3, [36, 52, 55, 60])
