(0, 0, 1, 1, [60, 64, 67, 72])
(1, 1, 1, 2, [57, 64, 69, 72])
(1, 3, 3, 1, [52, 64, 67, 71])
(2, 4, 1, 1, [53, 60, 65, 69])
(2, 5, 2, 1, [-53, -60, 64, -69])
(2, 6, 3, 1, [53, 59, 62, 67])
(3, 7, 1, 1, [52, 60, 67, 72])
(3, 8, 2, 1, [53, -60, 69, 74])
(3, 9, 3, 1, [55, 59, 67, -74])
(4, 10, 1, 2, [48, 60, 67, 76])
(4, 12, 3, 0.5, [60, 64, 67, 76])
(4, 12.5, 3.5, 0.5, [-60, -64, 69, -76])
(5, 13, 1, 1, [56, 64, 71, 76])
(5, 14, 2, 1, [-56, -64, -71, 74])
(5, 15, 3, 1, [52, 62, 68, 76])
(6, 16, 1, 1, [57, 60, 69, 76])
(6, 17, 2, 1, [55, -60, -69, -76])
(6, 18, 3, 1, [53, 67, 71, 74])
(7, 19, 1, 1, [52, 67, 72, 72])
(7, 20, 2, 1, [53, 69, -72, 74])
(7, 21, 3, 1, [55, 67, 71, -74])
(8, 22, 1, 2, [48, 64, 67, 72])
(8, 24, 1, 1, [48, 64, 67, 72])
(9, 25, 1, 1, [53, 65, 69, 72])
(9, 26, 2, 1, [-53, -65, 71, 74])
(9, 27, 3, 1, [60, 67, 72, 76])
(10, 28, 1, 1, [59, 68, 74, 74])
(10, 29, 2, 1, [57, 69, 72, -74])
(10, 30, 3, 1, [56, 71, 71, 76])
(11, 31, 1, 1, [57, 64, 69, 72])
(11, 32, 2, 1, [50, 65, -69, 71])
(11, 33, 3, 1, [52, 64, 68, -71])
(12, 34, 1, 2, [45, 60, 64, 69])
(12, 36, 3, 1, [54, 60, 69, 74])
(13, 37, 1, 1, [55, 59, 67, 74])
(13, 38, 2, 1, [-55, 60, -67, 72])
(13, 39, 3, 1, [53, 62, 67, 71])
(14, 40, 1, 1, [52, 64, 67, 72])
(14, 41, 2, 1, [48, -64, -67, 69])
(14, 42, 3, 0.5, [50, 62, 66, -69])
(14, 42.5, 3.5, 0.5, [-50, 60, -66, -69])
(15, 43, 1, 2, [55, 59, 62, 67])
(15, 45, 3, 1, [52, 59, 64, 67])
(16, 46, 1, 1, [57, 60, 64, 72])
(16, 47, 2, 1, [55, -60, -64, -72])
(16, 48, 3, 1, [57, 65, 69, 72])
(17, 49, 1, 1, [59, 62, 67, 74])
(17, 50, 2, 1, [57, -62, 69, -74])
(17, 51, 3, 1, [55, 67, 71, 74])
(18, 52, 1, 1.5, [60, 67, 72, 76])
(18, 53.5, 2.5, 0.5, [-60, -67, -72, 74])
(18, 54, 3, 1, [48, -67, 70, 76])
(19, 55, 1, 2, [53, 65, 69, 72])
(19, 57, 3, 1, [52, 67, 72, 72])
(20, 58, 1, 1, [50, 69, 74, 77])
(20, 59, 2, 0.5, [62, -69, -74, -77])
(20, 59.5, 2.5, 0.5, [60, -69, -74, -77])
(20, 60, 3, 0.5, [58, 62, 74, 77])
(20, 60.5, 3.5, 0.5, [57, -62, 72, -77])
(21, 61, 1, 0.5, [55, 67, 70, 76])
(21, 61.5, 1.5, 0.5, [57, -67, 72, -76])
(21, 62, 2, 0.5, [58, 65, 74, 74])
(21, 62.5, 2.5, 0.5, [-58, 64, -74, -74])
(21, 63, 3, 0.5, [57, 62, 67, 76])
(21, 63.5, 3.5, 0.5, [-57, 61, -67, -76])
