(0, 0, 1, 1, [48, 52, 55, 60])
(1, 1, 1, 1, [45, 52, 57, 60])
(1, 2, 2, 1, [43, -52, -57, -60])
(1, 3, 3, 1, [41, 53, 57, 60])
(2, 4, 1, 1, [40, 55, 59, 64])
(2, 5, 2, 0.5, [41, -55, -59, -64])
(2, 5.5, 2.5, 0.5, [40, -55, -59, -64])
(2, 6, 3, 0.5, [38, 53, 59, 65])
(2, 6.5, 3.5, 0.5, [40, -53, -59, -65])
(3, 7, 1, 0.5, [36, 52, 60, 67])
(3, 7.5, 1.5, 0.5, [48, -52, -60, -67])
(3, 8, 2, 0.5, [46, -52, -60, -67])
(3, 8.5, 2.5, 0.5, [45, -52, -60, -67])
(3, 9, 3, 0.5, [43, 53, -60, 69])
(3, 9.5, 3.5, 0.5, [41, -53, -60, -69])
(4, 10, 1, 3, [48, 52, 60, 67])
(5, 13, 1, 1, [45, 52, 60, 60])
(5, 14, 2, 1, [43, -52, 59, -60])
(5, 15, 3, 1, [41, 53, 57, 60])
(6, 16, 1, 1, [48, 52, 55, 64])
(6, 17, 2, 1, [47, 50, -55, -64])
(6, 18, 3, 1, [45, 48, 57, 65])
(7, 19, 1, 1, [47, 50, 55, 67])
(7, 20, 2, 1, [43, 55, 59, -67])
(7, 21, 3, 1, [38, 54, 62, 69])
(8, 22, 1, 3, [43, 50, 59, 67])
(9, 25, 1, 2, [48, 52, 60, 67])
(9, 27, 3, 1, [53, 53, 60, 69])
(10, 28, 1, 1, [-53, 55, 59, 67])
(10, 29, 2, 1, [52, 57, 60, -67])
(10, 30, 3, 1, [50, 59, 62, 65])
(11, 31, 1, 1, [-50, 52, 56, 64])
(11, 32, 2, 0.5, [48, 54, 57, -64])
(11, 32.5, 2.5, 0.5, [-48, -54, -57, 65])
(11, 33, 3, 0.5, [47, 56, 59, 64])
(11, 33.5, 3.5, 0.5, [-47, -56, -59, 62])
(12, 34, 1, 2, [45, 57, 52, 60])
(12, 36, 3, 1, [40, 55, 60, 60])
(13, 37, 1, 1, [41, 57, 60, 62])
(13, 38, 2, 0.5, [38, 53, 59, -62])
(13, 38.5, 2.5, 0.5, [-38, -53, 57, -62])
(13, 39, 3, 1, [43, 55, 59, 62])
(14, 40, 1, 0.5, [36, 55, 60, 64])
(14, 40.5, 1.5, 0.5, [38, -55, -60, -64])
(14, 41, 2, 0.5, [40, -55, -60, -64])
(14, 41.5, 2.5, 0.5, [41, -55, -60, -64])
(14, 42, 3, 0.5, [43, 55, 59, 62])
(14, 42.5, 3.5, 0.5, [41, -55, -59, -62])
(15, 43, 1, 1, [40, 55, 60, 60])
(15, 44, 2, 0.5, [36, 52, -60, -60])
(15, 44.5, 2.5, 0.5, [-36, -52, 62, -60])
(15, 45, 3, 0.5, [31, 55, 60, 62])
(15, 45.5, 3.5, 0.5, [-31, -55, 59, -62])
(16, 46, 1, 3, [36, 55, 60, 64])
(17, 49, 1, 1, [48, 52, 60, 67])
(17, 50, 2, 1, [47, -52, -60, -67])
(17, 51, 3, 1, [45, 53, 60, 69])
(18, 52, 1, 1, [47, 50, 62, 67])
(18, 53, 2, 1, [45, -50, 60, -67])
(18, 54, 3, 1, [43, 59, 62, 65])
(19, 55, 1, 0.5, [48, 59, 62, 64])
(19, 55.5, 1.5, 0.5, [50, -59, -62, -64])
(19, 56, 2, 0.5, [52, 57, 60, -64])
(19, 56.5, 2.5, 0.5, [-52, -57, -60, 65])
(19, 57, 3, 0.5, [40, 56, 59, 64])
(19, 57.5, 3.5, 0.5, [-40, -56, -59, 62])
(20, 58, 1, 2, [45, 52, 57, 60])
(20, 60, 3, 1, [40, 55, 60, 60])
(21, 61, 1, 1, [41, 57, -60, 62])
(21, 62, 2, 0.5, [38, 53, 59, -62])
(21, 62.5, 2.5, 0.5, [-38, -53, 57, -62])
(21, 63, 3, 1, [43, 55, 59, 62])
(22, 64, 1, 0.5, [36, 55, 60, 64])
(22, 64.5, 1.5, 0.5, [38, -55, -60, -64])
(22, 65, 2, 0.5, [40, -55, -60, -64])
(22, 65.5, 2.5, 0.5, [41, -55, -60, -64])
(22, 66, 3, 0.5, [43, 55, 59, 62])
(22, 66.5, 3.5, 0.5, [40, -55, -59, -62])
(23, 67, 1, 1, [45, 52, -59, 60])
(23, 68, 2, 1, [43, -52, 52, -60])
(23, 69, 3, 1, [41, 53, 57, 62])
(24, 70, 1, 3, [40, 47, 56, 64])
(25, 73, 1, 0.5, [41, 0, 57, 57])
(25, 73.5, 1.5, 0.5, [-41, 48, -57, -57])
(25, 74, 2, 0.5, [40, 50, -57, -57])
(25, 74.5, 2.5, 0.5, [-40, 52, -57, -57])
(25, 75, 3, 0.5, [38, 53, 57, 57])
(25, 75.5, 3.5, 0.5, [-38, 52, -57, -57])
(26, 76, 1, 1, [43, 50, -57, 59])
(26, 77, 2, 0.5, [41, 52, 55, -59])
(26, 77.5, 2.5, 0.5, [-41, 53, 57, -59])
(26, 78, 3, 0.5, [40, 55, 59, 59])
(26, 78.5, 3.5, 0.5, [-40, 53, -59, -59])
(27, 79, 1, 0.5, [45, 52, -59, 60])
(27, 79.5, 1.5, 0.5, [43, -52, -59, 59])
(27, 80, 2, 0.5, [45, -52, 57, 60])
(27, 80.5, 2.5, 0.5, [47, 50, -57, 62])
(27, 81, 3, 0.5, [48, 48, -57, 64])
(27, 81.5, 3.5, 0.5, [45, -48, -57, 65])
(28, 82, 1, 3, [47, 50, 55, 67])
(29, 85, 1, 1, [36, 52, 55, 64])
(29, 86, 2, 0.5, [38, 53, 60, -64])
(29, 86.5, 2.5, 0.5, [-38, -53, 59, -64])
(29, 87, 3, 1, [40, 55, 60, 64])
(30, 88, 1, 1, [41, 57, 60, 62])
(30, 89, 2, 1, [38, 53, -60, -62])
(30, 90, 3, 1, [43, 55, 59, 62])
(31, 91, 1, 0.5, [40, -55, 60, 60])
(31, 91.5, 1.5, 0.5, [-40, -55, 58, -60])
(31, 92, 2, 0.5, [41, 53, 57, -60])
(31, 92.5, 2.5, 0.5, [-41, 52, 55, -60])
(31, 93, 3, 0.5, [-41, 53, 57, -60])
(31, 93.5, 3.5, 0.5, [-41, 50, 53, -60])
(32, 94, 1, 3, [36, 52, 55, -60])
