(1, 0, 1, 2, [48, 51, 60, 67])
(1, 2, 3, 2, [50, 53, 58, 70])
(2, 4, 1, 1, [51, 55, 58, 67])
(2, 5, 2, 1, [50, 53, 59, 67])
(2, 6, 3, 1, [48, 51, 60, 67])
(2, 7, 4, 1, [47, 50, 62, 67])
(3, 8, 1, 1, [48, 51, 60, 68])
(3, 9, 2, 1, [50, 53, 58, -68])
(3, 10, 3, 1, [51, -53, -58, 67])
(3, 11, 4, 1, [48, 51, 58, -67])
(4, 12, 1, 1, [44, 51, 60, 65])
(4, 13, 2, 1, [41, -51, -60, -65])
(4, 14, 3, 2, [46, 50, 58, 65])
(5, 16, 1, 4, [39, 55, 58, 63])
(6, 20, 1, 2, [51, 51, 58, 67])
(6, 22, 3, 2, [43, -51, -58, 70])
(7, 24, 1, 8, [46, 50, 58, 65])
(7, 32, 9, 8, [46, 50, 58, 65])
(8, 40, 1, 2, [44, 53, 60, 60])
(9, 42, 1, 1, [43, 55, 60, 63])
(9, 43, 2, 1, [41, -55, -60, -63])
(9, 44, 3, 1, [43, -55, 59, 62])
(9, 45, 4, 1, [-43, 53, -59, -62])
(10, 46, 1, 4, [36, 51, 55, 60])
