(1, 0, 1, 0.5, [0, 0, 0, 67])
(1, 0.5, 1.5, 0.5, [48, 55, 63, -67])
(1, 1, 2, 0.5, [51, 60, 67, 67])
(1, 1.5, 2.5, 0.5, [48, 55, 63, -67])
(1, 2, 3, 0.5, [56, 60, 63, 65])
(1, 2.5, 3.5, 0.5, [0, 59, 62, -65])
(1, 3, 4, 0.5, [0, 60, -62, 63])
(1, 3.5, 4.5, 0.5, [55, 51, 60, -63])
(2, 4, 1, 0.5, [53, 56, 60, 62])
(2, 4.5, 1.5, 0.25, [50, 55, 59, -62])
(2, 4.75, 1.75, 0.25, [-50, 53, 57, -62])
(2, 5, 2, 0.5, [55, 55, 59, -62])
(2, 5.5, 2.5, 0.5, [43, 53, -59, -62])
(2, 6, 3, 0.5, [48, 51, 60, 60])
(2, 6.5, 3.5, 0.5, [-48, 53, 59, -60])
(2, 7, 4, 0.5, [0, 51, 60, -60])
(2, 7.5, 4.5, 0.5, [0, 50, 62, -60])
(3, 8, 1, 0.25, [0, 48, 63, 67])
(3, 8.25, 1.25, 0.25, [0, -48, 62, -67])
(3, 8.5, 1.5, 0.5, [48, 48, 63, -67])
(3, 9, 2, 0.5, [53, 0, 0, 69])
(3, 9.5, 2.5, 0.5, [51, 0, 60, -69])
(3, 10, 3, 0.5, [50, 0, 65, 70])
(3, 10.5, 3.5, 0.5, [46, 50, -65, -70])
(3, 11, 4, 0.5, [51, 58, -65, 67])
(3, 11.5, 4.5, 0.25, [-51, 53, 63, -67])
(3, 11.75, 4.75, 0.25, [-51, -53, 62, -67])
(4, 12, 1, 0.5, [-51, 55, 63, 72])
(4, 12.5, 1.5, 0.25, [50, 53, 65, -72])
(4, 12.75, 1.75, 0.25, [48, 51, 67, -72])
(4, 13, 2, 0.25, [56, 60, 65, -72])
(4, 13.25, 2.25, 0.25, [-56, 59, -65, -72])
(4, 13.5, 2.5, 0.5, [-56, 60, -65, -72])
(4, 14, 3, 0.5, [55, 62, 67, 71])
(4, 14.5, 3.5, 0.5, [56, -62, -67, -71])
(4, 15, 4, 0.5, [55, 0, 0, -71])
(4, 15.5, 4.5, 0.5, [53, 0, 68, -71])
(5, 16, 1, 0.5, [51, 0, 67, 72])
(5, 16.5, 1.5, 0.5, [50, 59, 65, 74])
(5, 17, 2, 0.5, [48, 60, 63, 75])
(5, 17.5, 2.5, 0.5, [51, -60, 67, -75])
(5, 18, 3, 0.5, [53, -60, 68, 74])
(5, 18.5, 3.5, 0.5, [50, 60, 65, -74])
(5, 19, 4, 0.5, [55, 58, 62, -74])
(5, 19.5, 4.5, 0.5, [53, -58, -62, 74])
(6, 20, 1, 0.5, [52, -58, 67, 72])
(6, 20.5, 1.5, 0.5, [48, -58, 64, -72])
(6, 21, 2, 0.25, [53, 56, 60, -72])
(6, 21.25, 2.25, 0.25, [-53, 55, -60, -72])
(6, 21.5, 2.5, 0.5, [41, 56, 65, -72])
(6, 22, 3, 2, [48, 55, 64, -72])
(7, 24, 1, 0.5, [48, 60, 63, 67])
(7, 24.5, 1.5, 0.5, [47, 62, 65, -67])
(7, 25, 2, 0.5, [47, 62, 65, 67])
(7, 25.5, 2.5, 0.5, [48, 60, 63, -67])
(7, 26, 3, 0.5, [48, 60, 63, 68])
(7, 26.5, 3.5, 0.5, [50, 58, 65, -68])
(7, 27, 4, 0.5, [51, 58, 65, 67])
