(0, 0, 1, 1, [48, 67, 72, 76])
(1, 1, 1, 0.5, [60, 67, 72, 76])
(1, 1.5, 1.5, 0.5, [-60, -67, -72, 77])
(1, 2, 2, 1, [59, 67, 74, 79])
(1, 3, 3, 1, [60, 67, 72, 76])
(1, 4, 4, 0.5, [57, 67, 72, 72])
(1, 4.5, 4.5, 0.5, [-57, 65, -72, -72])
(2, 5, 1, 0.5, [58, 65, 70, 74])
(2, 5.5, 1.5, 0.5, [-58, -65, 69, -74])
(2, 6, 2, 1, [60, 60, 67, 76])
(2, 7, 3, 1, [53, 60, 69, 77])
(2, 8, 4, 1, [48, 60, 67, 76])
(3, 9, 1, 0.5, [55, 59, -67, 74])
(3, 9.5, 1.5, 0.5, [-55, -59, 65, -74])
(3, 10, 2, 0.5, [57, 60, 64, 72])
(3, 10.5, 2.5, 0.5, [55, -60, -64, -72])
(3, 11, 3, 0.5, [53, 65, 69, 72])
(3, 11.5, 3.5, 0.5, [55, -65, -69, -72])
(3, 12, 4, 0.5, [57, -65, -69, -72])
(3, 12.5, 4.5, 0.5, [59, -65, -69, 74])
(4, 13, 1, 0.5, [60, 64, 67, 76])
(4, 13.5, 1.5, 0.5, [-60, 62, -67, -76])
(4, 14, 2, 0.5, [52, 60, 67, 76])
(4, 14.5, 2.5, 0.5, [53, -60, -67, -76])
(4, 15, 3, 0.5, [55, 60, 67, 74])
(4, 15.5, 3.5, 0.5, [-55, -60, -67, 72])
(4, 16, 4, 0.5, [55, 59, -67, 74])
(4, 16.5, 4.5, 0.5, [-55, -59, 65, -74])
(5, 17, 1, 3, [48, 55, 64, 72])
(5, 20, 1, 1, [48, 67, 72, 76])
(6, 21, 1, 0.5, [55, 67, 71, 74])
(6, 21.5, 1.5, 0.5, [-55, 65, -71, -74])
(6, 22, 2, 1, [56, 64, 71, 76])
(6, 23, 3, 0.5, [57, 64, 69, 72])
(6, 23.5, 3.5, 0.5, [-57, -64, 67, -72])
(6, 24, 4, 0.5, [62, 62, 66, 69])
(6, 24.5, 4.5, 0.5, [60, -62, -66, -69])
(7, 25, 1, 1, [59, 62, 67, 71])
(7, 26, 2, 0.5, [57, 60, -67, 72])
(7, 26.5, 2.5, 0.5, [-57, -60, 66, -72])
(7, 27, 3, 1, [55, 59, 67, 74])
(7, 28, 4, 1, [52, 59, 68, 76])
(8, 29, 1, 0.5, [57, 60, 64, 72])
(8, 29.5, 1.5, 0.5, [55, -60, -64, -72])
(8, 30, 2, 0.5, [57, 65, 69, 72])
(8, 30.5, 2.5, 0.5, [59, -65, -69, -72])
(8, 31, 3, 0.5, [60, 64, 67, 72])
(8, 31.5, 3.5, 0.5, [62, 65, -67, -72])
(8, 32, 4, 0.5, [60, 64, 69, -72])
(8, 32.5, 4.5, 0.5, [59, 62, 71, 74])
(9, 33, 1, 0.5, [57, 60, 72, 76])
(9, 33.5, 1.5, 0.5, [52, -60, -72, -76])
(9, 34, 2, 1, [53, 60, 67, 76])
(9, 35, 3, 0.5, [55, -60, 67, 74])
(9, 35.5, 3.5, 0.5, [-55, -60, -67, 72])
(9, 36, 4, 0.5, [-55, 59, -67, 74])
(9, 36.5, 4.5, 0.5, [-55, -59, 65, -74])
(10, 37, 1, 3, [48, 55, 64, 72])
