(0, 0, 1, 1, [48, 63, 67, 72])
(1, 1, 1, 0.5, [48, 67, 72, 75])
(1, 1.5, 1.5, 0.5, [50, -67, -72, -75])
(1, 2, 2, 0.5, [51, 63, 67, 72])
(1, 2.5, 2.5, 0.5, [53, -63, -67, -72])
(1, 3, 3, 0.5, [55, 62, 67, 71])
(1, 3.5, 3.5, 0.5, [-55, -62, 65, -71])
(1, 4, 4, 0.5, [56, 60, 63, 72])
(1, 4.5, 4.5, 0.5, [55, -60, -63, -72])
(2, 5, 1, 1, [53, 60, 68, 74])
(2, 6, 2, 0.5, [55, -60, 67, -74])
(2, 6.5, 2.5, 0.5, [-55, 59, -67, -74])
(2, 7, 3, 1, [48, 60, 67, 75])
(2, 8, 4, 1, [60, 67, 72, 75])
(3, 9, 1, 0.5, [55, -67, -72, 74])
(3, 9.5, 1.5, 0.5, [-55, -67, 71, -74])
(3, 10, 2, 0.5, [60, 67, 72, 75])
(3, 10.5, 2.5, 0.5, [58, -67, -72, -75])
(3, 11, 3, 0.5, [57, 69, -72, 77])
(3, 11.5, 3.5, 0.5, [62, 65, 69, -77])
(3, 12, 4, 0.5, [59, 67, 67, 74])
(3, 12.5, 4.5, 0.5, [55, 65, 71, -74])
(4, 13, 1, 0.5, [60, 63, 67, 75])
(4, 13.5, 1.5, 0.5, [-60, 62, -67, -75])
(4, 14, 2, 1, [54, 60, 69, -75])
(4, 15, 3, 1, [55, 67, 71, 74])
(4, 16, 4, 1, [48, 67, 72, 75])
(5, 17, 1, 0.5, [53, 68, 72, 74])
(5, 17.5, 1.5, 0.5, [-53, 62, 71, -74])
(5, 18, 2, 1, [54, 63, 69, 72])
(5, 19, 3, 0.5, [55, -63, 67, 72])
(5, 19.5, 3.5, 0.25, [-55, 62, -67, -72])
(5, 19.75, 3.75, 0.25, [-55, 60, -67, -72])
(5, 20, 4, 1, [43, 62, -67, 71])
(6, 21, 1, 3, [48, 63, 67, 72])
(6, 24, 1, 1, [48, 67, 72, 75])
(7, 25, 1, 0.5, [48, 67, 72, 75])
(7, 25.5, 1.5, 0.5, [50, -67, -72, -75])
(7, 26, 2, 0.5, [51, 67, 72, 75])
(7, 26.5, 2.5, 0.5, [53, -67, -72, -75])
(7, 27, 3, 0.5, [55, 67, -72, 74])
(7, 27.5, 3.5, 0.5, [-55, -67, 70, -74])
(7, 28, 4, 1, [51, 67, 70, 75])
(8, 29, 1, 0.5, [56, -67, -70, 72])
(8, 29.5, 1.5, 0.25, [-56, 65, 68, -72])
(8, 29.75, 1.75, 0.25, [-56, 63, 67, -72])
(8, 30, 2, 0.5, [-56, 62, 65, -72])
(8, 30.5, 2.5, 0.5, [-56, 60, -65, -72])
(8, 31, 3, 1, [55, 62, 67, 71])
(8, 32, 4, 0.5, [60, 60, 67, 75])
(8, 32.5, 4.5, 0.5, [-60, 62, -67, -75])
(9, 33, 1, 0.5, [-60, 63, 69, 75])
(9, 33.5, 1.5, 0.5, [58, 67, 70, -75])
(9, 34, 2, 0.5, [57, 65, 72, 75])
(9, 34.5, 2.5, 0.5, [53, -65, -72, -75])
(9, 35, 3, 0.5, [58, 65, 72, 74])
(9, 35.5, 3.5, 0.5, [56, -65, -72, -74])
(9, 36, 4, 0.5, [55, 67, 70, 75])
(9, 36.5, 4.5, 0.5, [51, -67, -70, -75])
(10, 37, 1, 0.5, [56, 63, -70, 72])
(10, 37.5, 1.5, 0.25, [55, -63, 68, -72])
(10, 37.75, 1.75, 0.25, [-55, -63, 67, -72])
(10, 38, 2, 0.5, [53, 62, 68, -72])
(10, 38.5, 2.5, 0.5, [50, -62, -68, -72])
(10, 39, 3, 1, [55, 62, 67, 71])
(10, 40, 4, 1, [57, 65, 72, 72])
(11, 41, 1, 0.5, [58, 65, 70, 74])
(11, 41.5, 1.5, 0.5, [-58, 67, -70, 76])
(11, 42, 2, 0.5, [56, 68, 72, 77])
(11, 42.5, 2.5, 0.5, [58, -68, 73, -77])
(11, 43, 3, 0.5, [60, 67, 72, 77])
(11, 43.5, 3.5, 0.5, [-60, 65, -72, -77])
(11, 44, 4, 1, [48, 67, 72, 76])
(12, 45, 1, 1, [53, 68, 72, 77])
(12, 46, 2, 1, [54, 69, 72, 74])
(12, 47, 3, 0.5, [55, 67, 71, 75])
(12, 47.5, 3.5, 0.5, [57, -67, 72, -75])
(12, 48, 4, 0.5, [59, -67, 74, 74])
(12, 48.5, 4.5, 0.5, [-59, 65, -74, -74])
(13, 49, 1, 0.5, [60, 63, 67, 72])
(13, 49.5, 1.5, 0.5, [53, -63, 68, -72])
(13, 50, 2, 0.5, [55, 62, 67, 71])
(13, 50.5, 2.5, 0.5, [-55, 65, -67, -71])
(13, 51, 3, 1, [48, 64, 67, 72])
