(0, 0, 1, 1, [48, 52, 55, 60])
(1, 1, 1, 0.5, [47, 50, 55, 67])
(1, 1.5, 1.5, 0.5, [-47, -50, -55, 65])
(1, 2, 2, 0.5, [48, 48, 55, 64])
(1, 2.5, 2.5, 0.5, [47, 50, -55, 62])
(1, 3, 3, 0.5, [45, 52, 57, 60])
(1, 3.5, 3.5, 0.5, [-45, 53, 59, -60])
(1, 4, 4, 1, [40, 55, 60, 67])
(2, 5, 1, 0.5, [41, 55, 60, 69])
(2, 5.5, 1.5, 0.25, [43, 53, -60, -69])
(2, 5.75, 1.75, 0.25, [-43, 52, -60, -69])
(2, 6, 2, 0.5, [45, 53, 60, 69])
(2, 6.5, 2.5, 0.5, [47, 53, -60, -69])
(2, 7, 3, 1, [48, 52, 60, 67])
(2, 8, 4, 1, [47, 55, 62, 67])
(3, 9, 1, 1, [48, 55, 64, 69])
(3, 10, 2, 1, [50, 54, 62, 71])
(3, 11, 3, 0.5, [52, 55, 60, 72])
(3, 11.5, 3.5, 0.5, [54, 57, 62, -72])
(3, 12, 4, 0.5, [55, 59, 62, 71])
(3, 12.5, 4.5, 0.5, [47, 50, -62, -71])
(4, 13, 1, 0.5, [48, 52, 60, 69])
(4, 13.5, 1.5, 0.25, [45, 54, -60, -69])
(4, 13.75, 1.75, 0.25, [-45, 55, -60, -69])
(4, 14, 2, 1, [50, 54, 60, 69])
(4, 15, 3, 1, [43, 55, 59, 67])
(4, 16, 4, 1, [48, 55, 60, 64])
(5, 17, 1, 0.5, [41, 53, 60, 69])
(5, 17.5, 1.5, 0.5, [-41, 52, -60, -69])
(5, 18, 2, 1, [43, 50, 59, 67])
(5, 19, 3, 0.5, [45, 57, 60, 65])
(5, 19.5, 3.5, 0.5, [47, 55, 62, -65])
(5, 20, 4, 0.5, [48, 55, 60, 64])
(5, 20.5, 4.5, 0.5, [41, -55, -60, -64])
(6, 21, 1, 0.5, [43, 50, 60, 62])
(6, 21.5, 1.5, 0.5, [-43, 52, -60, -62])
(6, 22, 2, 0.5, [-43, 53, 59, -62])
(6, 22.5, 2.5, 0.5, [-43, 55, -59, -62])
(6, 23, 3, 1, [36, 52, 55, 60])
(6, 24, 1, 1, [0, 0, 0, 0])
(7, 25, 1, 2, [47, 55, 62, 67])
(7, 27, 3, 2, [48, 55, 64, 64])
(8, 29, 1, 2, [47, 55, 62, 67])
(8, 31, 3, 2, [48, 55, 60, 64])
(9, 33, 1, 0.5, [36, 55, 60, 64])
(9, 33.5, 1.5, 0.5, [38, -55, -60, -64])
(9, 34, 2, 0.5, [40, 55, 60, 64])
(9, 34.5, 2.5, 0.5, [41, -55, -60, -64])
(9, 35, 3, 0.5, [43, 55, 59, 62])
(9, 35.5, 3.5, 0.5, [45, -55, 57, -62])
(9, 36, 4, 0.5, [47, 55, 55, 62])
(9, 36.5, 4.5, 0.5, [43, 53, -55, -62])
(10, 37, 1, 0.5, [48, 52, 55, 64])
(10, 37.5, 1.5, 0.5, [50, 53, -55, -64])
(10, 38, 2, 0.5, [52, 55, 55, 64])
(10, 38.5, 2.5, 0.5, [53, -55, 57, -64])
(10, 39, 3, 0.5, [55, 55, 59, 62])
(10, 39.5, 3.5, 0.5, [53, -55, -59, -62])
(10, 40, 4, 0.5, [52, 55, 59, 62])
(10, 40.5, 4.5, 0.5, [50, -55, -59, -62])
(11, 41, 1, 0.5, [48, 55, 60, 64])
(11, 41.5, 1.5, 0.5, [47, -55, -60, -64])
(11, 42, 2, 0.5, [45, 57, 60, 64])
(11, 42.5, 2.5, 0.5, [43, -57, -60, -64])
(11, 43, 3, 0.5, [41, 57, 60, 62])
(11, 43.5, 3.5, 0.5, [38, -57, -60, -62])
(11, 44, 4, 0.5, [43, 55, 59, -62])
(11, 44.5, 4.5, 0.5, [-43, 53, -59, -62])
(12, 45, 1, 2, [36, 52, 60, 60])
(12, 47, 3, 0.5, [33, 57, 64, 72])
(12, 47.5, 3.5, 0.5, [36, 55, -64, -72])
(12, 48, 4, 0.5, [38, 53, 62, 71])
(12, 48.5, 4.5, 0.5, [40, -53, -62, -71])
(13, 49, 1, 0.5, [41, 53, 60, 69])
(13, 49.5, 1.5, 0.5, [-41, 52, -60, -69])
(13, 50, 2, 1, [43, 50, 59, 67])
(13, 51, 3, 0.5, [45, 48, 57, 65])
(13, 51.5, 3.5, 0.5, [47, 50, -57, -65])
(13, 52, 4, 0.5, [48, 52, 55, 64])
(13, 52.5, 4.5, 0.5, [40, 55, -55, -64])
(14, 53, 1, 0.5, [41, 53, 57, 62])
(14, 53.5, 1.5, 0.25, [38, -53, -57, -62])
(14, 53.75, 1.75, 0.25, [-38, 52, -57, -62])
(14, 54, 2, 0.5, [43, 50, 59, -62])
(14, 54.5, 2.5, 0.25, [-43, 52, -59, -62])
(14, 54.75, 2.75, 0.25, [-43, 53, -59, -62])
(14, 55, 3, 1, [36, 52, 55, 60])
